englishTerm,koreanTerm,explanation
Patellar tendon reflex,무릎힘줄반사,걸터 앉아 하퇴를 늘어뜨린 상태 또는 반듯이 누은 자세에서 슬관절을 구부려 세운 상태에서 슬개밑의 건을 가법게 두드리면 대퇴사두근이 수축해 발이 전방으로 튀어오르는 반사. 두드림으로써 대건사두근 속의 근방추(筋紡錘)가 늘어나 이 수용기로부터의 자극이 구심신경을 거쳐 척수(제2~4용수)로 전해지고 대퇴사두근의 운동뉴론이 흉분하는 결과 발생하는 신전반사이다. 반사궁에 포함되는 뉴론은 2개의 단시냅스반사이다. 건강인에게 보통 발생하고 이것이 저하 또는 소실하는 것은 신경이나 척수 염증등의 경우이고 항진 하는 것은 상위에서 이 반사에 대한 억제가 감퇴했을 때이다.[간호학대사전]
Patellar tendon reflex,슬개건반사,걸터 앉아 하퇴를 늘어뜨린 상태 또는 반듯이 누은 자세에서 슬관절을 구부려 세운 상태에서 슬개밑의 건을 가법게 두드리면 대퇴사두근이 수축해 발이 전방으로 튀어오르는 반사. 두드림으로써 대건사두근 속의 근방추(筋紡錘)가 늘어나 이 수용기로부터의 자극이 구심신경을 거쳐 척수(제2~4용수)로 전해지고 대퇴사두근의 운동뉴론이 흉분하는 결과 발생하는 신전반사이다. 반사궁에 포함되는 뉴론은 2개의 단시냅스반사이다. 건강인에게 보통 발생하고 이것이 저하 또는 소실하는 것은 신경이나 척수 염증등의 경우이고 항진 하는 것은 상위에서 이 반사에 대한 억제가 감퇴했을 때이다.[간호학대사전]
Pathway,경로,1) 지나는 길.
2) 일이 진행되는 방법이나 순서.[표준국어대사전]
Patient,환자,개인
Peak flow meter,최대유량계,1) 흡식된 공기의 양을 계측하는 기계. 2) 호흡기능검사시에 호기량의 측정만이 가능한 간이기계로 노력 호흡시의 최대유량peak flow rate만이 지시침으로 표시되며 그것을 직접 읽을 수 있게 되어 있다. 일반의 주민건강진단 또는 경과관찰을 요하는 천식환자, 수술후의 회복기환자 등에 이용된다.[간호학대사전]
Pectus carinatum,새가슴,가슴 부위가 전방으로 팽만한 기형(새가슴)
Pectus excavatum,오목가슴,1) 흉골하부 및 늑연골 이후방으로 만곡하고 전흉부 하부가 이상하게 함몰한 것. 고도인 것에서는 심폐의 변위, 압박에 의한 순환, 호흡장애를 일으키는 수도 있다.[간호학대사전] 2) 앞가슴의 중앙부가 깔대기 모양으로 함몰되어 있는 것. 대부분 유전성으로 심한 경우에는 심장이나 허파에 장애를 일으킨다. 인구 300~400명의 신생아 중 1명이 이 질환에 걸릴 수 있는 것으로 알려져 있다. 보통 이 증상을 갖고 있는 사람은 마른체형이고 척추후만 등 자세의 이상을 동반하는 경우가 많다. 보통 신생아기, 영아기 등 어려서부터 알게 되며, 기형적인 모습 때문에 학교생활이나 사회생활을 할 때 지장을 받을 수도 있다. 남자에게 많이 발생하고, 상기도폐색-기관지연화증과 관련되어 생길 수도 있다. 보통의 경우 증상이 없지만, 심한 경우 심폐기능의 장애로 인해 운동할 때 숨이 차고, 반복되는 감기증상이 있을 수 있다. 승모판 탈출, 조기흥분증후군이 나타나는 경우도 있다.[알기쉬운 의학용어풀이집] 3) 가슴이 선천적으로 과도하게 함몰된 기형을 말한다. 가슴뼈의 선천성 기형 중 가장 흔한 증상이다. 일부 환자에서 가족력과 관련 있다고 알려져 있으나, 대부분 가족력은 없다. 이러한 증상은 가슴 연골에 생긴 이상 때문에 발생한다. 가슴 연골이 가슴 안으로 오목하게 들어가면서 가슴뼈 아래(보통 아래쪽 1/2이나 2/3)를 가슴 안쪽으로 함몰시킨다. 주로 대칭적으로 움푹하게 들어가 보이는 경우가 많지만, 일부에서는 비대칭적으로 함몰되기도 한다. 주로 오른쪽이 더 함몰된다고 알려져 있다. 보통 출생 시부터 바로 나타나며 나이가 들면서 점점 진행하는 경향이 있다. 오목 가슴의 함몰된 기형으로 인해 심장을 누르게 되는 경우가 발생할 수 있고, 성장하면서 폐의 용적도 감소되는 경향이 생길 수 있다. 이로 인한 호흡 곤란 및 운동 기능 저하가 발생할 수 있다.[서울대학교병원 의학정보]
Pelvic,골반-,신체 부분
Pelvic examination,골반내진,1) 자궁,질의 검진을 위해 질 내로 speculum을 삽입하여 시진, 배양검사 등을 시행하는 비침습적 검사.
2) External and internal inspection of the FEMALE GENITALIA.[MSH]
Pelvic examination,골반검사,1) 자궁,질의 검진을 위해 질 내로 speculum을 삽입하여 시진, 배양검사 등을 시행하는 비침습적 검사.
2) External and internal inspection of the FEMALE GENITALIA.[MSH]
Pelvis,골반,신체 부분
Penis,음경,남성 생식기계
Per os,경구-,약 따위가 입을 통하여 몸 안으로 들어감.
Perceived constipation,상상변비,원인없이 굳고 건조한 변의 배설이 드물거나 어려운 느낌
Perceived constipation deteriorated,상상변비 악화됨,
Perceived constipation improved,상상변비 개선됨,
Perceived constipation stabilized,상상변비 안정됨,
Perception,지각,신경계 과정: 감각적 자극에 대한 의식적인 정신적 등록, 감각을 통한 사물이나 자료의 인식.
Perceptual dysfunction,지각장애,감각 기관을 통해 외부의 사물을 인식, 사물의 이치를 분별하는 능력의 불능, 고장.
Percussion tone,타진음,
Perforation,천공,궤양(潰瘍), 암종(癌腫) 따위로 위벽, 복막 따위에 구멍이 생김.
Perform activities of daily living,일상활동활동 수행,
Perform activity care,활동간호 수행,
Perform acute pain control,급성통증조절 수행,
Perform adult day center,주간보호센터 수행,
Perform alcohol abuse control,알콜남용통제 수행,
Perform allergic reaction care,알레르기반응조절 수행,
Perform ambulation therapy,보행요법 수행,
Perform arterial catheter care,동맥관간호 수행,
Perform assistive device therapy,보조기사용간호 수행,
Perform bedbound care,침상간호 수행,
Perform behavior care,행동간호 수행,
Perform bereavement support,사별지지 수행,
Perform bill of rights,환자권리 수행,
Perform bladder care,방광간호 수행,
Perform bladder instillation,방광점적 수행,
Perform bladder ostomy care,방광루간호 수행,
Perform bladder ostomy irrigation,방광루세척 수행,
Perform bladder training,방광훈련 수행,
Perform blood pressure,혈압 수행,
Perform blood specimen care,혈액검사간호 수행,
Perform bowel care,장간호 수행,
Perform bowel ostomy care,장루간호 수행,
Perform bowel ostomy irrigation,장루세척 수행,
Perform bowel training,배변훈련 수행,
Perform breastfeeding support,모유수유지지 수행,
Perform breathing exercises,호흡운동 수행,
Perform burn care,화상간호 수행,
Perform cardiac care,심장간호 수행,
Perform cardiac rehabilitation,심장재활 수행,
Perform cast care,석고붕대간호 수행,
Perform cataract care,백내장간호 수행,
Perform chemotherapy care,항암요법간호 수행,
Perform chest physiotherapy,흉부물리요법 수행,
Perform chronic pain control,만성통증조절 수행,
Perform circulatory care,순환계간호 수행,
Perform clinical measurements,임상측정 수행,
Perform comfort care,안위간호 수행,
Perform communication care,의사소통간호 수행,
Perform community special services,지역사회서비스프로그램 수행,
Perform compliance care,이행증진간호 수행,
Perform compliance with diet,식사이행 수행,
Perform compliance with fluid volume,수분섭취이행 수행,
Perform compliance with medical regimen,의사지시이행 수행,
Perform compliance with medication regimen,투약이행 수행,
Perform compliance with safety precaution,안전주의이행 수행,
Perform compliance with therapeutic regimen,치료지시이행 수행,
Perform contraception care,피임간호 수행,
Perform coping support,대처기전지지 수행,
Perform counseling service,상담서비스 수행,
Perform crisis therapy,위기간호 수행,
Perform delivery care,분만간호 수행,
Perform denture care,의치간호 수행,
Perform diabetic care,당뇨간호 수행,
Perform dialysis care,투석간호 수행,
Perform diarrhea care,설사간호 수행,
Perform disimpaction,매복변제거 수행,
Perform diversional care,전환간호 수행,
Perform drainage tube care,배액튜브간호 수행,
Perform dressing change,드레싱교환 수행,
Perform drug abuse control,약물남용통제 수행,
Perform dying/death measures,임종과정지원 수행,
Perform ear care,귀간호 수행,
Perform edema control,부종조절 수행,
Perform emergency care,응급간호 수행,
Perform emotional support,정서적지지 수행,
Perform enema,관장 수행,
Perform energy conservation,에너지보존 수행,
Perform enteral feeding,위장관영양 수행,
Perform enteral tube care,위장관간호 수행,
Perform enteral tube insertion,위장관삽입 수행,
Perform enteral tube irrigation,위장관세척 수행,
Perform environmental safety,환경안전주의 수행,
Perform equipment safety,장비안전주의 수행,
Perform eye care,눈간호 수행,
Perform family process analysis,가족과정분석 수행,
Perform feeding technique,영양공급기법 수행,
Perform fertility care,수정간호 수행,
Perform fluid therapy,수액요법 수행,
Perform foot care,발간호 수행,
Perform fracture care,골절간호 수행,
Perform funeral arrangements,장례준비 수행,
Perform gastric care,위간호 수행,
Perform growth and development care,성장발달간호 수행,
Perform health aide service,간호보조서비스 수행,
Perform health history,건강력 수행,
Perform health promotion,건강증진 수행,
Perform hearing aid care,보청기간호 수행,
Perform hemodialysis care,혈액투석간호 수행,
Perform hemodynamic care,혈류역학간호 수행,
Perform home situation analysis,가정상태분석 수행,
Perform hospice,호스피스 수행,
Perform hydration control,체액균형조절 수행,
Perform immobilizer care,부동간호 수행,
Perform immunologic care,면역학적간호 수행,
Perform incision care,절개부위간호 수행,
Perform individual safety,개별안전주의 수행,
Perform infection control,감염통제 수행,
Perform infertility care,불임간호 수행,
Perform inhalation therapy,흡입치료 수행,
Perform injection administration,주사 수행,
Perform instrumental activities of daily living,도구적일상활동활동 수행,
Perform intake,섭취 수행,
Perform interpersonal dynamics analysis,대인관계분석 수행,
Perform intravenous care,정맥내주입간호 수행,
Perform labor care,분만간호 수행,
Perform meals on wheels,식사배달서비스 수행,
Perform medical regimen orders,의사지시 수행,
Perform medication actions,투약행위 수행,
Perform medication care,투약간호 수행,
Perform medication prefill preparation,연속투약준비 수행,
Perform medication side effects,투약부작용 수행,
Perform medication treatment,투약치료 수행,
Perform memory loss care,기억상실간호 수행,
Perform mental health history,정신건강력 수행,
Perform mental health promotion,정신건강증진 수행,
Perform mental health screening,정신건강선별검사 수행,
Perform mental health treatment,정신건강치료 수행,
Perform mental healthcare,정신건강간호 수행,
Perform mobility therapy,이동요법 수행,
Perform mouth care,구강간호 수행,
Perform musculoskeletal care,재활간호 수행,
Perform nausea care,오심간호 수행,
Perform neurological system care,신경계간호 수행,
Perform nurse specialist service,전문간호서비스 수행,
Perform nursing care coordination,치료조정간호활동 수행,
Perform nursing contact,간호사접촉 수행,
Perform nursing status report,간호상태보고 수행,
Perform nutrition care,영양간호 수행,
Perform occupational therapist service,직업치료서비스 수행,
Perform output,배설 수행,
Perform oxygen therapy care,산소요법 수행,
Perform pacemaker care,심박조율기간호 수행,
Perform pain control,통증조절 수행,
Perform parenteral feeding,비경구영양 수행,
Perform perinatal care,주산기간호 수행,
Perform perineal care,회음부간호 수행,
Perform perioperative injury care,수술주기손상간호 수행,
Perform peritoneal dialysis care,복막투석간호 수행,
Perform personal care,개인간호 수행,
Perform physical examination,신체검진 수행,
Perform physical healthcare,신체건강간호 수행,
Perform physical therapist service,물리치료서비스 수행,
Perform physician contact,의사접촉 수행,
Perform physician status report,의사의환자상태보고 수행,
Perform positioning therapy,체위간호 수행,
Perform postpartum care,산욕기간호 수행,
Perform pregnancy care,임신간호 수행,
Perform pressure ulcer care,욕창간호 수행,
Perform pressure ulcer stage 1 care,욕창간호1단계 수행,
Perform pressure ulcer stage 2 care,욕창간호2단계 수행,
Perform pressure ulcer stage 3 care,욕창간호3단계 수행,
Perform pressure ulcer stage 4 care,욕창간호4단계 수행,
Perform professional/ancillary service,전문/보조서비스 수행,
Perform psychosocial care,심리사회적간호 수행,
Perform pulmonary care,호흡기계간호 수행,
Perform pulse,맥박 수행,
Perform radiation therapy care,방사선치료간호 수행,
Perform range of motion,근관절범위운동 수행,
Perform reality orientation,현실감지남력 수행,
Perform regular diet,보통식사 수행,
Perform rehabilitation exercise,재활운동 수행,
Perform renal care,신장간호 수행,
Perform reproductive care,재생산간호 수행,
Perform respiration,호흡 수행,
Perform respiratory therapist service,호흡치료서비스 수행,
Perform safety precautions,안전주의 수행,
